Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio,Precio_Pesos,Precio_m2,Cluster,Tipo_Propiedad
"Recoleta, Barrio Norte",490000.0,ARS,65000.0,AYACUCHO al 1400 3°,35.0,,1 dorm.,,40.0,Recoleta,490000.0,14000.0,0,Compact and budget-friendly
"Belgrano R, Belgrano",1900.0,USD,360000.0,Conesa 2155 2 A,140.0,,2 dorm.,,25.0,Belgrano,2169800.0,15498.57142857143,3,High price per m²
"Urquiza R, Villa Urquiza",750000.0,ARS,130000.0,Donado al 2300,35.0,A Estrenar,1 dorm.,,,Villa Urquiza,750000.0,21428.571428571428,2,Spacious and affordable
"Palermo, Capital Federal",490000.0,ARS,160000.0,Armenia 1000,38.0,,1 dorm.,,40.0,Palermo,490000.0,12894.736842105263,0,Compact and budget-friendly
"Palermo Chico, Palermo",900000.0,ARS,145000.0,Castex 3300,53.0,,2 dorm.,,50.0,Palermo,900000.0,16981.132075471698,2,Spacious and affordable
"Caballito, Capital Federal",700000.0,ARS,122000.0,"Avenida José María Moreno 200, Piso 5",66.0,,2 dorm.,,60.0,Caballito,700000.0,10606.060606060606,1,Exclusive premium
"Flores Norte, Flores",625000.0,ARS,150000.0,"Avenida Avellaneda 2700, Piso 4",53.0,,2 dorm.,,50.0,Flores,625000.0,11792.452830188678,1,Exclusive premium
"Barrio Norte, Capital Federal",1000000.0,ARS,300000.0,"Arenales 2500, Piso 6",90.0,,3 dorm.,,50.0,Barrio Norte,1000000.0,11111.111111111111,1,Exclusive premium
"Villa del Parque, Capital Federal",950000.0,ARS,180000.0,"Nazarre 2600, Piso 5",60.0,,2 dorm.,,12.0,Villa del Parque,950000.0,15833.333333333334,2,Spacious and affordable
"Almagro Norte, Almagro",520000.0,ARS,140000.0,"Tucumán 3700, Piso 9",32.0,,1 dorm.,,39.0,Almagro,520000.0,16250.0,2,Spacious and affordable
"Urquiza R, Villa Urquiza",1700000.0,ARS,365000.0,"Avenida Olazábal 5000, Piso 8",75.0,,3 dorm.,,20.0,Villa Urquiza,1700000.0,22666.666666666668,3,High price per m²
"Belgrano R, Belgrano",800000.0,ARS,200000.0,"Av Crámer 1900, Piso 6",60.0,,2 dorm.,,60.0,Belgrano,800000.0,13333.333333333334,1,Exclusive premium
"Monserrat, Centro",450000.0,ARS,59000.0,Av. Belgrano al 1200,33.0,A Estrenar,,1.0,,Monserrat,450000.0,13636.363636363636,0,Compact and budget-friendly
"Congreso, Capital Federal",900000.0,ARS,150000.0,"MEXICO 1900, Piso 4",71.0,,2 dorm.,,7.0,Congreso,900000.0,12676.05633802817,1,Exclusive premium
"Barrio Norte, Capital Federal",750000.0,ARS,120000.0,"Uriarte 2100, Piso 4",60.0,,2 dorm.,,40.0,Barrio Norte,750000.0,12500.0,1,Exclusive premium
"Tribunales, Centro",550000.0,ARS,155000.0,"Tucuman al 1400, piso 6°",54.0,,2 dorm.,,45.0,Tribunales,550000.0,10185.185185185184,1,Exclusive premium
"Caballito Sur, Caballito",620000.0,ARS,138000.0,"Benjamin Viel 400, Piso 2",40.0,,1 dorm.,1.0,,Caballito,620000.0,15500.0,2,Spacious and affordable
"Palermo, Capital Federal",580000.0,ARS,125000.0,"Malabia 2300, Piso PB",44.0,,1 dorm.,,78.0,Palermo,580000.0,13181.818181818182,0,Compact and budget-friendly
"Belgrano R, Belgrano",2200000.0,ARS,430000.0,"La Pampa 3000, Piso 8",130.0,,3 dorm.,,15.0,Belgrano,2200000.0,16923.076923076922,3,High price per m²
"Botanico, Palermo",600000.0,ARS,150000.0,"REPUBLICA ARABE SIRIA 3200, Piso 2",37.0,,1 dorm.,,50.0,Palermo,600000.0,16216.216216216217,2,Spacious and affordable
"Villa del Parque, Capital Federal",400000.0,ARS,60000.0,Nazca al 3100,51.0,,1 dorm.,,35.0,Villa del Parque,400000.0,7843.137254901961,0,Compact and budget-friendly
"Palermo, Capital Federal",550000.0,ARS,120000.0,Mario Bravo al 1000,53.0,,,1.0,45.0,Palermo,550000.0,10377.358490566037,0,Compact and budget-friendly
"Palermo, Capital Federal",650000.0,ARS,156378.0,MALABIA al 2200 6°,58.0,,2 dorm.,,40.0,Palermo,650000.0,11206.896551724138,1,Exclusive premium
"Palermo, Capital Federal",790000.0,ARS,330000.0,GUEMES al 4100 14°,80.0,,2 dorm.,,40.0,Palermo,790000.0,9875.0,1,Exclusive premium
"Urquiza R, Villa Urquiza",950000.0,ARS,200000.0,"Ceretti 2600, Piso 5",61.0,A Estrenar,2 dorm.,,,Villa Urquiza,950000.0,15573.77049180328,2,Spacious and affordable
"Caballito Sur, Caballito",550000.0,ARS,111000.0,"Muñiz 500, Piso 10",37.0,A Estrenar,,1.0,,Caballito,550000.0,14864.864864864865,0,Compact and budget-friendly
"Congreso, Capital Federal",420000.0,ARS,109000.0,"Riobamba 400, Piso 7",32.0,,,1.0,45.0,Congreso,420000.0,13125.0,0,Compact and budget-friendly
"Colegiales, Capital Federal",420000.0,ARS,65000.0,TEODORO GARCIA al 2800,36.0,,1 dorm.,,40.0,Colegiales,420000.0,11666.666666666666,0,Compact and budget-friendly
"Belgrano, Capital Federal",700000.0,ARS,150000.0,"Franklin Delano Roosevelt 2300, Piso 5",50.0,,2 dorm.,,35.0,Belgrano,700000.0,14000.0,1,Exclusive premium
"Belgrano Chico, Belgrano",850000.0,ARS,100000.0,"La Pampa 700, Piso 5",46.0,,,1.0,6.0,Belgrano,850000.0,18478.260869565216,2,Spacious and affordable
"Urquiza R, Villa Urquiza",750000.0,ARS,170000.0,Burela 2100,41.0,,1 dorm.,,30.0,Villa Urquiza,750000.0,18292.682926829268,2,Spacious and affordable
"Urquiza R, Villa Urquiza",900000.0,ARS,170000.0,Av. Olazabal 4800,42.0,,1 dorm.,,15.0,Villa Urquiza,900000.0,21428.571428571428,2,Spacious and affordable
"Recoleta, Barrio Norte",420000.0,ARS,107000.0,"Beruti 2300, piso 7",27.0,Monoam.,,,,Recoleta,420000.0,15555.555555555555,0,Compact and budget-friendly
"Palermo, Capital Federal",530000.0,ARS,175000.0,"José Antonio Cabrera 3000, Piso 1",35.0,Monoam.,,1.0,,Palermo,530000.0,15142.857142857143,2,Spacious and affordable
"Villa Urquiza, Capital Federal",450000.0,ARS,102000.0,"Juramento 5000, Piso 6",36.0,Monoam.,,,10.0,Villa Urquiza,450000.0,12500.0,0,Compact and budget-friendly
"San Cristobal, Capital Federal",400000.0,ARS,90000.0,La Rioja 1200,35.0,,1 dorm.,,45.0,San Cristóbal,400000.0,11428.57142857143,0,Compact and budget-friendly
"Belgrano, Capital Federal",700000.0,ARS,53270.0,CRAMER al 1900 9°,39.0,,1 dorm.,,40.0,Belgrano,700000.0,17948.71794871795,2,Spacious and affordable
"San Cristobal, Capital Federal",400000.0,ARS,90000.0,Sarandí al 1200,40.0,,1 dorm.,,40.0,San Cristóbal,400000.0,10000.0,0,Compact and budget-friendly
"Villa Urquiza, Capital Federal",500.0,USD,188500.0,"Donado 1900, Piso 4",52.0,Monoam.,,,8.0,Villa Urquiza,571000.0,10980.76923076923,1,Exclusive premium
"Caballito, Capital Federal",400000.0,ARS,80000.0,"NEUQUEN 1800, Piso 1",35.0,,1 dorm.,,,Caballito,400000.0,11428.57142857143,0,Compact and budget-friendly
"Palermo, Capital Federal",490000.0,ARS,145000.0,Güemes al 3500,38.0,,1 dorm.,,50.0,Palermo,490000.0,12894.736842105263,0,Compact and budget-friendly
"Almagro, Capital Federal",450000.0,ARS,60000.0,BULNES 100,22.0,,,1.0,45.0,Almagro,450000.0,20454.545454545456,0,Compact and budget-friendly
"Villa Devoto, Capital Federal",900.0,USD,300000.0,Avenida Lastra 4200,47.0,A Estrenar,1 dorm.,,,Villa Devoto,1027800.0,21868.08510638298,3,High price per m²
"Botanico, Palermo",1400.0,USD,406000.0,"Juan Maria Gutierrez 3900, Piso 9",70.0,,2 dorm.,,20.0,Palermo,1598800.0,22840.0,3,High price per m²
"San Cristobal, Capital Federal",400000.0,ARS,90000.0,"Solis 700, Piso Pb",23.0,Monoam.,,1.0,,San Cristóbal,400000.0,17391.304347826088,0,Compact and budget-friendly
"Recoleta, Barrio Norte",420000.0,ARS,120000.0,"Uriburu 1400, Piso 1",30.0,,,1.0,40.0,Recoleta,420000.0,14000.0,0,Compact and budget-friendly
"Almagro Norte, Almagro",500000.0,ARS,95000.0,C Castillo 100,37.0,Monoam.,,,5.0,Almagro,500000.0,13513.513513513513,0,Compact and budget-friendly
"Belgrano, Capital Federal",1500000.0,ARS,320300.0,"Crámer 1700, Piso 6",75.0,,2 dorm.,,2.0,Belgrano,1500000.0,20000.0,3,High price per m²
"Palermo Soho, Palermo",1190000.0,ARS,225000.0,"Paraguay 4200, Piso 7",70.0,,2 dorm.,,16.0,Palermo,1190000.0,17000.0,3,High price per m²
"Recoleta, Barrio Norte",350000.0,ARS,131600.0,AGUERO al 2200 3°,24.0,,,1.0,40.0,Recoleta,350000.0,14583.333333333334,0,Compact and budget-friendly
"Caballito, Capital Federal",450000.0,ARS,110000.0,"Cnel. Ramon L. Falcon 1500, Piso 4",45.0,,1 dorm.,,45.0,Caballito,450000.0,10000.0,0,Compact and budget-friendly
"Parque Chacabuco, Capital Federal",570000.0,ARS,110000.0,"Av Del Barco Centenera 1000, Piso 8",45.0,,2 dorm.,,30.0,Parque Chacabuco,570000.0,12666.666666666666,0,Compact and budget-friendly
"Villa Devoto, Capital Federal",400000.0,ARS,170000.0,Llavallol 4600,33.0,,,1.0,12.0,Villa Devoto,400000.0,12121.212121212122,0,Compact and budget-friendly
"Belgrano C, Belgrano",680000.0,ARS,142000.0,"Sucre 1500, Piso 2",42.0,,1 dorm.,,25.0,Belgrano,680000.0,16190.47619047619,2,Spacious and affordable
"Balvanera, Capital Federal",380000.0,ARS,88000.0,"Sarmiento 1900, Piso 2",40.0,Frente,,,,Balvanera,380000.0,9500.0,0,Compact and budget-friendly
"Flores Norte, Flores",440000.0,ARS,180000.0,"BOYACA 620 , Piso 8",36.0,,1 dorm.,,17.0,Flores,440000.0,12222.222222222223,1,Exclusive premium
"Nuñez, Capital Federal",550000.0,ARS,97000.0,"Quesada 2600, Piso 5",35.0,,1 dorm.,,50.0,Nuñez,550000.0,15714.285714285714,0,Compact and budget-friendly
"Parque Patricios, Capital Federal",700000.0,ARS,135000.0,"Raodeau 3300, Piso 2",56.0,,2 dorm.,,10.0,Parque Patricios,700000.0,12500.0,1,Exclusive premium
"Balvanera, Capital Federal",600000.0,ARS,105000.0,"ANCHORENA 500, Piso 3",35.0,,1 dorm.,,2009.0,Balvanera,600000.0,17142.85714285714,2,Spacious and affordable
"Monserrat, Centro",430000.0,ARS,80000.0,Venezuela al 900,35.0,,1 dorm.,,3.0,Monserrat,430000.0,12285.714285714286,0,Compact and budget-friendly
"Belgrano, Capital Federal",1200000.0,ARS,220000.0,Av. Cabildo al 1200,92.0,,3 dorm.,,50.0,Belgrano,1200000.0,13043.478260869566,1,Exclusive premium
"Villa Luro, Capital Federal",455000.0,ARS,19100.0,"Jose M Cortina 100, Piso 2",41.0,,1 dorm.,,40.0,Villa Luro,455000.0,11097.560975609756,0,Compact and budget-friendly
"Belgrano, Capital Federal",950000.0,ARS,235000.0,Husares 2200,44.0,,1 dorm.,,15.0,Belgrano,950000.0,21590.909090909092,2,Spacious and affordable
"Recoleta, Barrio Norte",700.0,USD,150000.0,Paraguay al 3000,39.0,,1 dorm.,,5.0,Recoleta,799400.0,20497.4358974359,2,Spacious and affordable
"Belgrano, Capital Federal",850000.0,ARS,420000.0,José Hernández 2200,57.0,,1 dorm.,1.0,,Belgrano,850000.0,14912.280701754386,1,Exclusive premium
"Belgrano R, Belgrano",700000.0,ARS,145000.0,"LA PAMPA 2900, Piso 3",38.0,,1 dorm.,,20.0,Belgrano,700000.0,18421.052631578947,2,Spacious and affordable
"Las Cañitas, Palermo",2500.0,USD,500000.0,Olleros al 1600,146.0,,2 dorm.,,5.0,Palermo,2855000.0,19554.794520547945,3,High price per m²
"Belgrano, Capital Federal",1350000.0,ARS,200000.0,La Pampa 1100,58.0,,2 dorm.,,25.0,Belgrano,1350000.0,23275.862068965518,3,High price per m²
"Villa Devoto, Capital Federal",650000.0,ARS,160000.0,"Av. Francisco Beiró 4200, Piso 9",50.0,,1 dorm.,,14.0,Villa Devoto,650000.0,13000.0,1,Exclusive premium
"Palermo, Capital Federal",1200000.0,ARS,303200.0,"ARAOZ 2900, Piso 6",92.0,,3 dorm.,,50.0,Palermo,1200000.0,13043.478260869566,1,Exclusive premium
"Palermo Viejo, Palermo",1500.0,USD,400000.0,"Guatemala 4500, Piso 8",72.0,,2 dorm.,,20.0,Palermo,1713000.0,23791.666666666668,3,High price per m²
"Parque Chacabuco, Capital Federal",470000.0,ARS,98000.0,"Emilio Mitre 900, Piso 5",38.0,,1 dorm.,1.0,,Parque Chacabuco,470000.0,12368.421052631578,0,Compact and budget-friendly
"Villa Crespo, Capital Federal",430000.0,ARS,120000.0,"Padilla 700, Piso 9",35.0,,,1.0,20.0,Villa Crespo,430000.0,12285.714285714286,0,Compact and budget-friendly
"Paternal, Capital Federal",520000.0,ARS,133000.0,"12 De Octubre 1800, Piso 7",47.0,,1 dorm.,,15.0,La Paternal,520000.0,11063.829787234043,0,Compact and budget-friendly
"Urquiza R, Villa Urquiza",800000.0,ARS,120000.0,"Cullen 4900, Piso 4",46.0,,1 dorm.,,5.0,Villa Urquiza,800000.0,17391.304347826088,2,Spacious and affordable
"Caballito, Capital Federal",900000.0,ARS,280000.0,Av La Plata 200,68.0,,2 dorm.,,27.0,Caballito,900000.0,13235.29411764706,1,Exclusive premium
"Recoleta, Barrio Norte",700000.0,ARS,225000.0,"Callao 1200, Piso 6",33.0,Monoam.,,1.0,,Recoleta,700000.0,21212.121212121212,2,Spacious and affordable
"Belgrano R, Belgrano",1890000.0,ARS,437000.0,"LA PAMPA 3000, Piso 8",140.0,,3 dorm.,,40.0,Belgrano,1890000.0,13500.0,3,High price per m²
"Urquiza R, Villa Urquiza",700000.0,ARS,160000.0,"Juramento 5200, Piso 5",40.0,,1 dorm.,,6.0,Villa Urquiza,700000.0,17500.0,2,Spacious and affordable
"Barrio Norte, Capital Federal",470000.0,ARS,80000.0,"Uriburu 1000, Piso 1",30.0,,,1.0,45.0,Barrio Norte,470000.0,15666.666666666666,0,Compact and budget-friendly
"Belgrano, Capital Federal",1700000.0,ARS,450000.0,O'Higgins 1900,90.0,,2 dorm.,,35.0,Belgrano,1700000.0,18888.88888888889,3,High price per m²
"Recoleta, Barrio Norte",450000.0,ARS,90000.0,"POSADAS 1500, Piso 9",26.0,,1 dorm.,,40.0,Recoleta,450000.0,17307.69230769231,0,Compact and budget-friendly
"Flores, Capital Federal",500000.0,ARS,95000.0,Culpina 300,36.0,,1 dorm.,,55.0,Flores,500000.0,13888.888888888889,0,Compact and budget-friendly
"Caballito, Capital Federal",650000.0,ARS,80000.0,"Thompson 800, Piso 5",43.0,,1 dorm.,,10.0,Caballito,650000.0,15116.279069767443,0,Compact and budget-friendly
"Colegiales, Capital Federal",900000.0,ARS,145000.0,"CRAMER AVDA 300, Piso -",68.0,,3 dorm.,,45.0,Colegiales,900000.0,13235.29411764706,1,Exclusive premium
"Barrio Norte, Capital Federal",280000.0,ARS,144870.0,AZCUENAGA al 1300 3°,25.0,,,1.0,40.0,Barrio Norte,280000.0,11200.0,0,Compact and budget-friendly
"Recoleta, Barrio Norte",350000.0,ARS,120000.0,"PEÑA 2000, Piso 2",25.0,,,1.0,49.0,Recoleta,350000.0,14000.0,0,Compact and budget-friendly
"Flores, Capital Federal",750000.0,ARS,85000.0,"Coronel Ramón Lorenzo Falcón 2000, Piso 12",48.0,,1 dorm.,,40.0,Flores,750000.0,15625.0,2,Spacious and affordable
"San Cristobal, Capital Federal",490000.0,ARS,90000.0,HUMBERTO PRIMO 2300,26.0,Lateral,,,,San Cristóbal,490000.0,18846.153846153848,2,Spacious and affordable
"Paternal, Capital Federal",730000.0,ARS,170000.0,"Alejandro Margariño Cervantes 1800, Piso 19",60.0,,2 dorm.,,15.0,La Paternal,730000.0,12166.666666666666,1,Exclusive premium
"Floresta, Capital Federal",480000.0,ARS,120000.0,Av rivadavia 8600,48.0,,1 dorm.,,50.0,Flores,480000.0,10000.0,0,Compact and budget-friendly
"Villa del Parque, Capital Federal",850000.0,ARS,220000.0,"BAIGORRIA 2900, Piso 1",90.0,,3 dorm.,2.0,,Villa del Parque,850000.0,9444.444444444445,1,Exclusive premium
"Flores Norte, Flores",500000.0,ARS,85000.0,"Jose Antonio Paez 2100, Piso 2",36.0,,,1.0,4.0,Flores,500000.0,13888.888888888889,0,Compact and budget-friendly
"Villa del Parque, Capital Federal",500000.0,ARS,25000.0,"Adolfo P Carranza 2700, Piso 5°",38.0,,1 dorm.,,,Villa del Parque,500000.0,13157.894736842105,0,Compact and budget-friendly
"Parque Rivadavia, Caballito",1200000.0,ARS,221000.0,Formosa al 200,86.0,,3 dorm.,,30.0,Caballito,1200000.0,13953.488372093023,1,Exclusive premium
"Almagro Norte, Almagro",450000.0,ARS,95000.0,"Av RIVADAVIA 4200, Piso 7",40.0,,1 dorm.,,60.0,Almagro,450000.0,11250.0,0,Compact and budget-friendly
"San Telmo, Capital Federal",550000.0,ARS,100000.0,"Humberto Primero 900, Piso 5",30.0,,,1.0,12.0,San Telmo,550000.0,18333.333333333332,2,Spacious and affordable
"Congreso, Capital Federal",380000.0,ARS,80000.0,"Av. de Mayo 1300, Piso 8",28.0,Excelente,,,,Congreso,380000.0,13571.42857142857,0,Compact and budget-friendly
"Belgrano, Capital Federal",350000.0,ARS,140000.0,"Amenabar 2400, Piso 1",27.0,,,1.0,22.0,Belgrano,350000.0,12962.962962962964,0,Compact and budget-friendly
"Palermo, Capital Federal",700.0,USD,150000.0,Paraguay al 3000,40.0,,1 dorm.,,5.0,Palermo,799400.0,19985.0,2,Spacious and affordable
